time,linear.velocity.x,linear.velocity.y,linear.velocity.z,angular.velocity.x,angular.velocity.y,angular.velocity.z,gps.latitude,gps.longitude,gps.height,gps.health
26.053114,0.000010,0.001457,0.026281,-0.000826,-0.002326,-0.001069,0.000000,0.000000,37.553867,0
26.074421,0.000181,0.001357,0.025469,0.001484,0.002384,0.002608,0.000000,0.000000,37.555359,0
26.095987,0.000429,0.001333,0.024715,0.001362,0.009991,0.002574,0.000000,0.000000,37.558407,0
26.113215,0.000626,0.001365,0.024162,-0.004447,0.001411,-0.001800,0.000000,0.000000,37.560345,0
26.133325,0.000280,0.001449,0.023626,-0.000268,0.002526,-0.004030,0.000000,0.000000,37.560162,0
26.153303,-0.000012,0.001440,0.022778,0.000756,-0.000668,-0.001392,0.000000,0.000000,37.560345,0
26.175386,0.000098,0.001322,0.021918,0.001476,-0.003716,-0.000308,0.000000,0.000000,37.562233,0
26.193281,0.000387,0.001215,0.021360,0.000764,-0.004090,0.000299,0.000000,0.000000,37.567688,0
26.213123,0.000340,0.001210,0.020880,0.000353,-0.000550,0.000334,0.000000,0.000000,37.571186,0
26.233105,0.000346,0.001252,0.020632,0.000469,-0.003990,0.001308,0.000000,0.000000,37.571186,0
26.253156,0.000344,0.001308,0.020579,-0.001861,0.003654,-0.000476,0.000000,0.000000,37.570744,0
26.274337,0.000279,0.001175,0.020621,-0.001171,0.007382,0.004054,0.000000,0.000000,37.573013,0
26.293009,0.000050,0.001059,0.020496,0.000757,-0.007632,-0.000480,0.000000,0.000000,37.575039,0
26.312953,0.000004,0.001253,0.020271,-0.002392,-0.001124,0.001118,0.000000,0.000000,37.575848,0
26.333172,0.000136,0.001649,0.019893,-0.004964,0.002794,0.000575,0.000000,0.000000,37.574951,0
26.352843,0.000311,0.001839,0.019517,0.000526,-0.000136,0.001715,0.000000,0.000000,37.573296,0
26.374551,0.000547,0.001713,0.019243,0.004280,-0.001731,-0.003425,0.000000,0.000000,37.570606,0
26.392978,0.000578,0.001335,0.019011,0.000865,-0.002326,0.001678,0.000000,0.000000,37.569927,0
26.412932,0.000537,0.000975,0.018663,-0.003779,0.003476,-0.001945,0.000000,0.000000,37.570873,0
26.433093,0.000354,0.000944,0.018399,-0.000908,0.002564,0.000711,0.000000,0.000000,37.570560,0
26.453051,0.000128,0.001382,0.017733,0.004043,0.000626,-0.000220,0.000000,0.000000,37.571911,0
26.476005,0.000153,0.001883,0.017016,-0.004106,0.003176,0.003061,0.000000,0.000000,37.575165,0
26.492956,0.000277,0.001800,0.016809,-0.000903,0.001544,0.000500,0.000000,0.000000,37.575886,0
26.513334,0.000300,0.001286,0.016677,0.002125,0.004038,0.000345,0.000000,0.000000,37.573448,0
26.532927,0.000236,0.000816,0.016518,0.002003,-0.001843,0.001940,0.000000,0.000000,37.572681,0
26.552901,-0.000047,0.000919,0.016486,0.003409,-0.005042,0.001351,0.000000,0.000000,37.573086,0
26.576463,-0.000160,0.001326,0.016197,-0.000905,0.004644,0.001799,0.000000,0.000000,37.572861,0
26.592986,0.000071,0.001296,0.015715,-0.002439,0.001248,0.002959,0.000000,0.000000,37.574680,0
26.612980,0.000650,0.001012,0.015392,0.003742,-0.000677,0.000262,0.000000,0.000000,37.578354,0
26.632919,0.000991,0.000993,0.015314,0.003911,-0.001633,-0.004138,0.000000,0.000000,37.579971,0
26.652982,0.000954,0.001433,0.015175,-0.004330,0.000096,0.000802,0.000000,0.000000,37.581512,0
26.674396,0.000541,0.001654,0.014956,-0.003281,0.002534,0.000140,0.000000,0.000000,37.583683,0
26.692884,0.000459,0.001484,0.014773,0.002912,-0.003978,-0.003353,0.000000,0.000000,37.585827,0
26.713065,0.000672,0.001170,0.014659,0.000793,0.001279,-0.002962,0.000000,0.000000,37.587753,0
26.732960,0.000914,0.000826,0.014552,-0.000950,0.001326,-0.001908,0.000000,0.000000,37.590199,0
26.752971,0.001039,0.000736,0.014562,0.001191,0.001364,0.001884,0.000000,0.000000,37.592735,0
26.774167,0.001046,0.000931,0.014548,0.000706,-0.000103,-0.002152,0.000000,0.000000,37.595654,0
26.793167,0.000712,0.001028,0.014453,0.001094,0.004495,-0.001136,0.000000,0.000000,37.598873,0
26.813100,0.000403,0.001014,0.014738,0.000922,-0.001406,-0.002943,0.000000,0.000000,37.599953,0
26.832917,0.000318,0.001091,0.014723,0.000860,0.000665,-0.001321,0.000000,0.000000,37.599651,0
26.852900,0.000739,0.001196,0.014610,0.002143,-0.000992,-0.004080,0.000000,0.000000,37.599754,0
26.874313,0.000803,0.001232,0.014432,0.001510,-0.001748,-0.004666,0.000000,0.000000,37.601616,0
26.893131,0.000652,0.001195,0.014225,-0.000257,0.004092,-0.001768,0.000000,0.000000,37.606110,0
26.912922,0.000458,0.001005,0.014052,-0.001803,0.003430,0.003237,0.000000,0.000000,37.609760,0
26.932929,0.000413,0.000895,0.014199,0.002226,-0.003534,-0.000176,0.000000,0.000000,37.612572,0
26.953079,0.000269,0.000858,0.014227,-0.002771,-0.001040,0.000100,0.000000,0.000000,37.612705,0
26.974274,-0.000032,0.001112,0.013872,0.002697,-0.006672,-0.003388,0.000000,0.000000,37.611172,0
26.992945,-0.000258,0.001273,0.013601,-0.001576,0.006313,-0.001272,0.000000,0.000000,37.609257,0
27.012941,-0.000191,0.001200,0.013571,0.000816,-0.001140,-0.003370,0.000000,0.000000,37.607609,0
27.033118,-0.000100,0.001029,0.013099,0.000655,0.000648,0.003613,0.000000,0.000000,37.607655,0
27.052911,-0.000059,0.001081,0.012661,0.002120,0.000782,0.000036,0.000000,0.000000,37.609409,0
27.076008,0.000027,0.001303,0.012520,-0.000045,0.003366,0.001536,0.000000,0.000000,37.610851,0
27.093025,-0.000032,0.001465,0.012158,-0.001643,0.001723,-0.002859,0.000000,0.000000,37.611317,0
27.112918,-0.000047,0.001311,0.011695,-0.000044,-0.001985,-0.002135,0.000000,0.000000,37.611671,0
27.132952,0.000232,0.001193,0.011689,0.000038,0.002500,-0.000645,0.000000,0.000000,37.610767,0
27.153104,0.000387,0.001241,0.011268,0.000488,-0.003254,-0.004349,0.000000,0.000000,37.610931,0
27.174411,-0.000020,0.001436,0.010850,0.002944,-0.001107,0.000285,0.000000,0.000000,37.612007,0
27.192176,-0.000099,0.001506,0.010866,0.000109,-0.000330,0.003688,0.000000,0.000000,37.615482,0
27.213005,0.000128,0.001486,0.010748,-0.001384,0.007692,0.005602,0.000000,0.000000,37.618420,0
27.233051,0.000297,0.001343,0.010507,-0.002979,0.000642,-0.002054,0.000000,0.000000,37.619476,0
27.252910,0.000235,0.001248,0.010655,0.004575,-0.005573,-0.002513,0.000000,0.000000,37.620155,0
27.274219,0.000135,0.001225,0.010499,-0.003570,0.002617,0.001782,0.000000,0.000000,37.619476,0
27.292955,0.000048,0.001302,0.010389,-0.001476,0.001845,-0.003608,0.000000,0.000000,37.617992,0
27.312974,-0.000012,0.001383,0.010559,-0.001322,0.003535,0.000805,0.000000,0.000000,37.617771,0
27.332966,-0.000200,0.001520,0.010538,0.005142,-0.002916,-0.003463,0.000000,0.000000,37.618595,0
27.353160,-0.000204,0.001537,0.010581,0.002514,-0.007483,-0.001257,0.000000,0.000000,37.621010,0
27.374226,0.000083,0.001531,0.010627,-0.001163,0.001896,-0.001694,0.000000,0.000000,37.623684,0
27.392933,0.000389,0.001444,0.010622,0.001207,0.000714,-0.000754,0.000000,0.000000,37.627102,0
27.412950,0.000194,0.001371,0.010682,0.005522,-0.002120,0.000239,0.000000,0.000000,37.631680,0
27.432905,0.000009,0.001603,0.011150,0.001393,0.000923,0.001236,0.000000,0.000000,37.635090,0
27.452940,0.000065,0.001810,0.011403,-0.001986,0.002326,0.003330,0.000000,0.000000,37.637962,0
27.474322,0.000180,0.001781,0.011249,-0.000547,0.002002,-0.000718,0.000000,0.000000,37.640903,0
27.494149,0.000377,0.001790,0.011278,-0.000869,-0.000662,0.003452,0.000000,0.000000,37.641087,0
27.513140,0.000733,0.001683,0.011466,-0.000500,-0.000888,-0.000735,0.000000,0.000000,37.639656,0
27.533299,0.000670,0.001503,0.011612,-0.001742,0.005521,0.003508,0.000000,0.000000,37.638859,0
27.553106,0.000372,0.001414,0.011771,0.001693,0.000895,0.005490,0.000000,0.000000,37.638439,0
27.576310,0.000194,0.001502,0.011627,0.000228,-0.001542,-0.001582,0.000000,0.000000,37.637089,0
27.592969,0.000253,0.001625,0.011345,0.000398,-0.000988,0.001016,0.000000,0.000000,37.635685,0
27.613064,0.000238,0.001469,0.011096,0.000534,0.004905,0.004723,0.000000,0.000000,37.634747,0
27.632931,0.000349,0.001430,0.010987,0.003321,-0.003042,0.000749,0.000000,0.000000,37.634460,0
27.652824,0.000177,0.001461,0.010877,0.002313,-0.000661,0.000064,0.000000,0.000000,37.633186,0
27.674257,0.000052,0.001481,0.010406,-0.001629,0.005153,0.000657,0.000000,0.000000,37.632278,0
27.692941,0.000221,0.001459,0.009996,0.000070,-0.001026,-0.001573,0.000000,0.000000,37.631027,0
27.712864,0.000387,0.001266,0.009595,0.001354,-0.001418,-0.000266,0.000000,0.000000,37.630322,0
27.732945,0.000481,0.001016,0.008965,0.000296,-0.000811,0.001456,0.000000,0.000000,37.630459,0
27.753064,0.000347,0.001158,0.008657,-0.000211,-0.001925,-0.001496,0.000000,0.000000,37.632343,0
27.774236,0.000255,0.001390,0.008570,0.000499,-0.002785,-0.002111,0.000000,0.000000,37.633461,0
27.793041,0.000023,0.001396,0.008533,-0.000428,0.001055,0.002582,0.000000,0.000000,37.632481,0
27.813009,-0.000002,0.001133,0.008393,-0.002401,0.002020,0.001267,0.000000,0.000000,37.630653,0
27.832851,0.000129,0.000883,0.008468,-0.001069,-0.002924,0.000713,0.000000,0.000000,37.630035,0
27.852820,-0.000024,0.000818,0.008368,0.001318,0.000957,-0.002160,0.000000,0.000000,37.630009,0
27.874268,-0.000277,0.001125,0.008231,0.004369,-0.005354,-0.001388,0.000000,0.000000,37.631062,0
27.892961,-0.000223,0.001379,0.008079,0.001397,-0.001673,-0.002992,0.000000,0.000000,37.631569,0
27.913067,-0.000165,0.001124,0.008023,0.001414,0.002556,-0.001717,0.000000,0.000000,37.631763,0
27.933143,-0.000012,0.000651,0.008078,0.000816,0.004857,-0.000262,0.000000,0.000000,37.632633,0
27.955731,0.000195,0.000639,0.008094,-0.001553,0.002280,0.001134,0.000000,0.000000,37.633511,0
27.974249,0.000199,0.000970,0.007720,-0.001568,0.003239,-0.001224,0.000000,0.000000,37.633823,0
27.992833,-0.000058,0.001361,0.007614,0.001861,-0.000437,0.003858,0.000000,0.000000,37.633270,0
28.012903,0.000278,0.001551,0.007592,-0.001953,-0.001688,0.002007,0.000000,0.000000,37.632175,0
28.033270,0.000524,0.001213,0.007401,0.000110,0.003945,0.001335,0.000000,0.000000,37.631596,0
28.053279,0.000475,0.001071,0.007145,0.000078,-0.000245,-0.000234,0.000000,0.000000,37.632469,0
28.076247,0.000189,0.001429,0.007035,0.000468,-0.001714,-0.001978,0.000000,0.000000,37.633095,0
28.093365,-0.000135,0.001644,0.006891,0.003391,-0.005204,-0.002794,0.000000,0.000000,37.632675,0
28.113314,-0.000410,0.001451,0.006783,-0.001309,-0.001846,0.002159,0.000000,0.000000,37.633636,0
28.133369,-0.000213,0.001090,0.006892,-0.000666,-0.004368,-0.004195,0.000000,0.000000,37.634773,0
28.153407,-0.000104,0.001066,0.006943,0.001132,-0.006298,-0.001410,0.000000,0.000000,37.634785,0
28.174724,-0.000229,0.001443,0.007070,0.001558,-0.000689,-0.000036,0.000000,0.000000,37.633289,0
28.193527,-0.000241,0.001673,0.007134,-0.000532,0.002891,0.003461,0.000000,0.000000,37.633320,0
28.213335,-0.000040,0.001513,0.007119,-0.002558,0.000407,0.003919,0.000000,0.000000,37.634335,0
